,full_time_result,half_time_result,half_time_home_goals,half_time_away_goals,home_possession,away_possession,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls_committed,away_fouls_committed,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
0,H,H,3,1,56.3,43.7,25,19,15,13,3,5,9,7,2,3,0,1
1,H,D,0,0,46.4,53.6,13,16,9,9,6,6,19,8,2,1,0,0
2,H,H,2,0,47.9,52.1,14,11,6,6,7,2,15,6,3,4,0,0
3,H,H,1,0,41.7,58.3,8,14,3,7,0,6,17,17,2,7,0,2
4,H,D,1,1,48.4,51.6,13,13,12,7,5,6,11,13,2,1,0,0
5,D,H,2,1,58.5,41.5,21,6,11,2,7,3,14,13,2,3,0,1
6,A,A,0,1,67.4,32.6,11,7,4,4,10,6,14,13,0,1,0,0
7,H,H,2,0,59.5,40.5,17,9,9,5,10,2,12,10,2,1,0,1
8,D,A,0,1,49.8,50.2,12,10,3,6,8,5,14,5,2,3,0,1
9,D,D,0,0,70.1,29.9,14,3,4,2,7,0,12,8,0,0,0,0
10,H,H,2,0,59.8,40.2,11,4,9,2,6,3,12,11,0,0,0,0
11,H,D,0,0,51.9,48.1,6,12,4,6,3,5,12,8,2,2,0,0
12,A,A,0,1,49.9,50.1,20,12,11,8,5,3,11,14,2,2,0,0
13,D,A,0,1,52.6,47.4,9,6,3,3,4,3,9,14,2,4,0,1
14,H,H,1,0,40.5,59.5,15,14,10,7,7,3,10,11,1,4,0,1
15,H,H,1,0,34.2,65.8,8,10,4,6,6,4,17,8,0,1,0,0
16,H,H,1,0,64.1,35.9,20,9,15,6,7,3,4,6,1,2,0,0
17,A,A,0,2,52.0,48.0,12,5,4,3,7,1,16,11,2,2,0,0
18,H,D,0,0,30.8,69.2,16,12,7,7,6,8,12,11,1,2,0,0
19,H,A,1,2,71.6,28.4,23,7,11,5,1,5,11,14,0,2,0,0
20,A,A,0,3,39.2,60.8,7,19,3,11,1,9,10,7,1,0,1,0
21,H,H,2,0,52.5,47.5,11,11,6,5,2,3,8,10,1,0,0,0
22,H,H,3,1,59.9,40.1,20,14,11,11,8,8,12,7,0,1,0,0
23,D,D,1,1,55.1,44.9,13,6,4,4,6,2,15,14,0,2,0,0
24,A,D,0,0,49.2,50.8,14,12,9,8,10,3,11,9,0,0,0,0
25,H,H,2,0,62.2,37.8,10,7,7,6,5,4,13,17,2,4,0,0
26,D,D,0,0,59.0,41.0,18,10,10,5,7,5,8,7,1,2,0,0
27,D,H,1,0,48.7,51.3,15,11,8,5,4,4,10,7,1,0,0,0
28,D,D,0,0,33.3,66.7,7,16,4,6,0,11,9,9,2,0,0,0
29,H,H,1,0,59.9,40.1,19,9,12,5,8,3,12,3,2,1,0,0
30,D,A,1,2,63.8,36.2,14,4,10,3,8,0,11,7,1,1,1,0
31,D,D,0,0,61.6,38.4,15,10,9,4,4,2,7,12,1,0,1,0
32,H,D,0,0,44.3,55.7,14,12,8,5,6,3,11,15,1,4,0,0
33,H,H,3,0,45.1,54.9,17,14,12,13,6,6,12,5,0,0,0,0
34,D,D,1,1,68.7,31.3,9,16,5,8,2,1,13,11,1,2,0,0
35,A,A,0,1,53.0,47.0,17,11,8,7,10,2,12,7,2,2,0,0
36,D,A,0,1,51.7,48.3,16,13,6,9,10,6,6,20,1,4,0,0
37,A,D,1,1,45.1,54.9,15,18,8,9,4,7,9,4,1,0,0,0
38,H,H,4,1,50.0,50.0,20,9,12,4,8,3,4,7,0,0,0,0
39,H,H,1,0,42.1,57.9,17,10,13,5,11,5,11,4,3,1,0,0
40,H,H,2,0,63.0,37.0,23,10,14,8,5,4,6,10,0,0,0,1
41,H,D,0,0,52.2,47.8,17,8,10,4,5,5,10,14,2,2,0,0
42,D,D,0,0,48.9,51.1,20,9,14,4,8,5,10,12,0,1,0,0
43,D,D,0,0,52.7,47.3,10,13,6,9,2,4,16,17,0,2,0,0
44,D,D,1,1,33.8,66.2,4,15,3,11,6,5,12,12,0,1,0,0
45,D,H,1,0,34.1,65.9,6,20,4,9,2,7,18,10,1,2,0,0
46,A,A,0,1,42.3,57.7,4,22,2,11,7,4,4,9,0,1,0,0
47,D,H,1,0,58.3,41.7,17,11,10,7,3,3,16,12,3,3,0,0
48,H,D,0,0,59.7,40.3,17,13,9,6,13,3,12,15,2,1,0,0
49,H,A,0,1,60.4,39.6,12,8,4,2,1,4,5,13,1,3,0,0
50,A,A,0,2,48.5,51.5,18,30,11,19,8,3,23,7,4,1,1,0
51,H,D,0,0,52.9,47.1,9,8,4,1,9,1,14,6,1,0,0,0
52,D,A,0,1,61.3,38.7,20,4,11,2,10,1,12,10,2,1,0,0
53,A,A,0,1,63.6,36.4,18,12,9,9,8,7,7,13,0,3,0,0
54,A,D,0,0,52.0,48.0,13,8,8,4,7,3,14,7,1,2,1,0
55,D,H,1,0,41.2,58.8,14,10,10,4,9,4,11,7,1,0,0,0
56,H,H,1,0,52.8,47.2,16,8,8,3,4,5,11,19,1,1,0,0
57,H,A,0,1,43.3,56.7,18,9,14,6,10,9,7,12,0,2,0,0
58,A,D,1,1,51.4,48.6,14,10,5,5,6,5,14,13,2,3,0,0
59,H,H,3,1,52.4,47.6,17,8,9,2,10,3,2,3,0,0,0,0
60,A,D,1,1,28.9,71.1,7,21,3,12,2,4,7,12,0,1,0,0
61,A,A,0,2,74.1,25.9,15,10,8,6,9,5,5,7,0,0,0,0
62,A,A,0,2,32.9,67.1,10,10,7,6,5,5,5,2,1,0,0,0
63,D,D,0,0,47.4,52.6,14,8,7,3,6,3,6,8,0,3,0,0
